things,places
"CEREALS RTE,QUAKER,100% NAT GRANOLA OATS & HONEY",
"CEREALS RTE,GENERAL MILLS,HONEY NUT CHEX",
"CEREALS RTE,KELLOGG,KELLOGG'S PRODUCT 19",
"CEREALS RTE,QUAKER,SWT CRUNCH/QUISP",
"CEREALS RTE,KELLOGG,KELLOGG'S RAISIN BRAN",
"CEREALS RTE,KRAFT,POST RAISIN BRAN CRL",
"CEREALS RTE,GENERAL MILLS,RICE CHEX",
"CEREALS RTE,KELLOGG,KELLOGG'S RICE KRISPIES",
"CEREALS RTE,QUAKER,QUAKER PUFFED RICE",
"CEREALS RTE,KELLOGG,KELLOGG'S SPL K",
"CEREALS RTE,KELLOGG,KELLOGG'S CORN POPS",
"CEREALS RTE,KELLOGG,KELLOGG'S FRSTD FLAKES",
"CEREALS RTE,KELLOGG,KELLOGG'S HONEY SMACKS",
"CEREALS RTE,WHEAT,PUFFED,PRESWEETENED,SINGLE BRAND",
"CEREALS RTE,RALSTON TASTEEOS",
"CEREALS RTE,CORN FLAKES,PLN,SINGLE BRAND",
"CEREALS RTE,GENERAL MILLS,WHL GRAIN TOTAL",
"CEREALS RTE,GENERAL MILLS,TRIX",
"CEREALS RTE,WAFFELOS",
"CEREALS RTE,WHL WHEAT,SHREDDED,PRESWEETENED,SINGLE BRAND",
"CEREALS RTE,GENERAL MILLS,WHEAT CHEX",
"CEREALS RTE,MALT-O-MEAL,CORN BURSTS",
"CEREALS RTE,WHEAT GERM,TSTD,PLN",
"CEREALS RTE,QUAKER,KRETSCHMER HONEY CRUNCH WHEAT GERM",
"CEREALS RTE,GENERAL MILLS,FRENCH TOAST CRUNCH",
"CEREALS RTE,GENERAL MILLS,MULTI-GRAIN CHEERIOS",
"CEREALS RTE,GENERAL MILLS,TEAM CHEERIOS",
"CEREALS RTE,GENERAL MILLS,WHEATIES",
"CEREALS,CORN GRITS,WHITE,REG & QUICK,ENR,DRY",
"CEREALS,CORN GRITS,WHITE,REG & QUICK,ENR,CKD W/ H2O,WO/ SALT",
"CEREALS,QUAKER,CORN GRITS,INST,PLN,DRY",
"CEREALS,QUAKER,CORN GRITS,INST,PLN,PREP W/H2O",
"CEREALS,QUAKER,CORN GRITS,INST,CHEDDAR CHS FLAVOR,DRY",
"CEREALS,QUAKER,CORN GRITS,INST,CHEDDAR CHS FLAVOR,PREP W/H2O",
"CEREALS,QUAKER,CORN GRITS,INST,W/IMITN BACON BITS,DRY",
"CEREALS,QUAKER,CRNGRIT,INST,CNTRYBCN(IMTATN BCN BIT)PRPW/H2O",
"CEREALS,CRM OF RICE,DRY",
"CEREALS,CRM OF RICE,CKD W/H2O,WO/SALT",
"CEREALS,CREAM OF WHEAT,REG,DRY",
"CEREALS,CREAM OF WHEAT,REG,CKD W/ H2O,WO/ SALT",
"CEREALS,CREAM OF WHEAT,QUICK,DRY",
"CEREALS,CREAM OF WHEAT,QUICK,CKD W/ H2O,WO/ SALT",
"CEREALS,CREAM OF WHEAT,INST,DRY",
"CEREALS,CREAM OF WHEAT,INST,PREP W/ H2O,WO/ SALT",
"CEREALS,CREAM OF WHEAT,MIX'N EAT,PLN,DRY",
"CEREALS,CREAM OF WHEAT,MIX'N EAT,PLN,PREP W/ H2O",
"CEREALS,CRM OF WHEAT,MIX'N EAT,APPL,BANANA&MAPLE FLAV,DRY",
"CEREALS,CRM OF WHEAT,MIX'N EAT,APPL,BANANA&MAPLE FLAV,PREP",
"CEREALS,FARINA,ENR,DRY",
"CEREALS,FARINA,ENR,CKD W/ H2O,WO/ SALT",
"CEREALS,MALTEX,DRY",
"CEREALS,MALTEX,CKD W/ H2O,WO/ SALT",
"CEREALS,MALT-O-MEAL,PLN,DRY",
"CEREALS,MAYPO,DRY",
"CEREALS,MAYPO,CKD W/ H2O,WO/ SALT",
"CEREALS,OATS,REG & QUICK & INST,NOT FORT,DRY",
"CEREALS,OATS,REG & QUICK & INST,UNENR,CKD W/ H2O,WO/ SALT",
"CEREALS,OATS,INST,FORT,PLN,DRY",
"CEREALS,OATS,INST,FORT,PLN,PREP W/ H2O",
"CEREALS,QUAKER,INST OATMEAL,APPLS & CINN,DRY",
"CEREALS,QUAKER,INST OATMEAL,APPLS & CINN,PREP W/ BOILING H2O",
"CEREALS,OATS,INST,FORT,W/ CINN & SPICE,DRY",
"CEREALS,OATS,INST,FORT,W/ CINN & SPICE,PREP W/ H2O",
"CEREALS,QUAKER,INST OATMEAL,MAPLE & BROWN SUGAR,DRY",
"CEREALS,QUAKER,INST OAT, MAPLE & BR SUGAR,PREP W/ BOIL H2O",
"CEREALS,OATS,INST,FORT,W/ RAISINS & SPICE,DRY",
"CEREALS,OATS,INST,FORT,W/ RAISINS & SPICE,PREP W/ H2O",
"CEREALS,RALSTON,DRY",
"CEREALS,RALSTON,CKD W/ H2O,WO/ SALT",
"CEREALS,ROMAN MEAL,PLN,DRY",
"CEREALS,ROMAN MEAL,PLN,CKD W/ H2O,WO/ SALT",
"CEREALS RTE,MALT-O-MEAL,MARSHMLLW MATEYS",
"CEREALS RTE,GENERAL MILLS,CINN GRAHAMS",
"CEREALS RTE,CHOC FLAV RINGS,PRESWEETENED,SINGLE BRAND",
"CEREALS,WHEATENA,DRY",
"CEREALS,WHEATENA,CKD W/ H2O",
"CEREALS,WHL WHEAT HOT NAT CRL,DRY",
"CEREALS,WHL WHEAT HOT NAT CRL,CKD W/ H2O,WO/ SALT",
"CEREALS RTE,QUAKER,QUAKER PUFFED WHEAT",
"CEREALS RTE,WHEAT,SHREDDED,PLN,SUGAR & SALT FREE",
"CEREALS RTE,WHEAT,SHREDDED,PLN,SUGAR&SALT FREE,SPOON SIZE",
"CEREALS,ROMAN MEAL WITH OATS,CKD W/ H2O,WO/ SALT",
"CEREALS RTE,RICE,PUFFED,FORT",
"CEREALS RTE,WHEAT,PUFFED,FORT",
"CEREALS,CORN GRITS,WHITE,REG & QUICK,UNENR,DRY",
"CEREALS,CORN GRITS,YEL,REG & QUICK,ENR,DRY",
"CEREALS,CORN GRITS,YEL,REG & QUICK,UNENR,DRY",
"CEREALS,CORN GRITS,WHITE,REG,QUICK,ENR,CKD W/ H2O,W/ SALT",
"CEREALS,CORN GRITS,WHITE,REG & QCK,UNENR,CKD W/ H2O,WO/ SALT",
"CEREALS,CORN GRITS,WHITE,REG,QUICK,UNENR,CKD W/ H2O,W/ SALT",
"CEREALS,CORN GRITS,YEL,REG & QUICK,ENR,CKD W/ H2O,WO/ SALT",
"CEREALS,CORN GRITS,YEL,REG,QUICK,ENR,CKD W/ H2O,W/ SALT",
"CEREALS,CORN GRITS,YEL,REG & QUICK,UNENR,CKD W/ H2O,WO/ SALT",
"CEREALS,CORN GRITS,YEL,REG,QUICK,UNENR,CKD W/ H2O,W/ SALT",
"CEREALS,CREAM OF RICE,CKD W/ H2O,W/ SALT",
"CEREALS,CRM OF WHEAT,REG,CKD W/ H2O,W/ SALT,(WHEAT)",
"CEREALS,CREAM OF WHEAT,QUICK,CKD W/ H2O,W/ SALT",
"CEREALS,CRM OF WHEAT,INST,PREP W/ H2O,W/ SALT,(WHEAT)",
"CEREALS,FARINA,UNENR,DRY",
"CEREALS,FARINA,ENR,CKD W/ H2O,W/ SALT",
"CEREALS,MALTEX,CKD W/ H2O,W/ SALT",
"CEREALS,MALT-O-MEAL,CHOC,DRY",
"CEREALS,MAYPO,CKD W/ H2O,W/ SALT",
"CEREALS,OATS,REG & QUICK & INST,UNENR,CKD W/ H2O,W/ SALT",
"CEREALS,ROMAN MEAL,PLN,CKD W/ H2O,W/ SALT",
"CEREALS,WHEATENA,CKD W/ H2O,W/ SALT",
"CEREALS,WHL WHEAT HOT NAT CRL,CKD W/ H2O,W/ SALT",
"CEREALS,ROMAN MEAL WITH OATS,CKD W/ H2O,W/ SALT",
"CEREALS,RALSTON,CKD W/ H2O,W/ SALT",
"CEREALS RTE,KELLOGG,KELLOGG'S LOFAT GRANOLA WO/ RAISINS",
"CEREALS RTE,GENERAL MILLS,OATMEAL CRISP,APPL CINN",
"CEREALS RTE,WHEAT,SHREDDED,PRESWEETENED,SINGLE BRAND",
"CEREALS RTE,CORN,RICE,WHEAT,OAT,PRESWEETENED,W/FRUIT&ALMONDS",
"CEREALS RTE,GENERAL MILLS,REESE'S PUFFS",
"CEREALS RTE,HEALTHY CHOIC,KELLOGG'S ALMOND CRUNCH W/RAISINS",
"CEREALS,QUAKER,QUAKER MULTIGRAIN OATMEAL,DRY",
"CEREALS RTE,GENERAL MILLS,OATMEAL CRISP W/ ALMONDS",
"CEREALS RTE,CHOCOLATE-FLAVORED FRSTD PUFFED CORN",
"CEREALS RTE,MALT-O-MEAL,COCO-ROOS",
"CEREALS RTE,QUAKER,QUAKER OAT CINN LIFE",
"CEREALS RTE,QUAKER,HONEY GRAHAM OH!S",
"CEREALS RTE,QUAKER,SUN COUNTRY GRANOLA W/ ALMONDS",
"CEREALS RTE,QUAKER,QUAKER OATMEAL SQUARES",
"CEREALS RTE,QUAKER,QUAKER CINN OATMEAL SQUARES",
"CEREALS RTE,QUAKER,QUAKER OAT BRAN CRL",
"CEREALS READY TO EAT,CHARACTER CEREALS (MOVIES,TV),BRAND A",
"CEREALS RTE,QUAKER,100% NAT CRL W/ OATS,HONEY,& RAISINS",
"CEREALS RTE,QUAKER,QUAKER TSTD OATMEAL CRL,HONEY NUT",
"CEREALS RTE,QUAKER,LOFAT 100% NAT GRANOLA W/ RAISINS",
"CEREALS,QUAKER,CORN GRITS,INST,BUTTER FLAVOR,DRY",
"CEREALS READY TO EAT,CHARACTER CEREALS (MOVIES,TV),BRAND B",
"CEREALS,QUAKER,INST OATMEAL,FRUIT & CRM VAR,DRY",
"CEREALS,QUAKER,INST OATMEAL,FRT& CRM VAR,PREP W/ BOILING H2O",
"CEREALS,QUAKER,INST OATMEAL,RAISINS,DATES & WALNUTS,DRY",
"CEREALS,QUAKER,INST OATMEAL,LO NA,DRY",
"CEREALS,QUAKER,FARINA,CREAMY WHEAT,ENR,DRY",
"CEREALS,QUAKER,OAT BRAN,QUAKER/MOTHER'S OAT BRAN,DRY",
"CEREALS,QUAKER,SCOTCH BARLEY,REG&QUICK,DRY",
"CEREALS,QUAKER,OATMEAL,INST,LO NA,PREP W/H2O",
"CEREALS,QUAKER,OATMEAL,INST,RAISINS,DATES&WALNUTS,PREP W/H2O",
"CEREALS,QKR,OAT BRAN,PREP W/H2O,NO SALT",
"CEREALS,QUAKER,CREAMY WHEAT,FARINA,ENR,PREP W/H2O,NO SALT",
"CEREALS,QUAKER,CORN GRITS,INST,BUTTER FLAVOR,PREP W/H2O",
"CEREALS RTE,GEN MILLS,BERRY BURST CHEERIOS,ALL FLAVORS",
"CEREALS,OAT BRAN,QKR,QKR/MOTHER'S OAT BRAN,PREP W/H2O,SALT",
"CEREALS,QUAKER,CREAMY WHEAT,FARINA,ENR,PREP W/H2O,SALT",
"CEREALS RTE,JUST RIGHT W/ CRUNCHY NUGGETS",
"CEREALS RTE,GENERAL MILLS,HONEY NUT CLUSTERS",
"CEREALS RTE,GENERAL MILLS,FIBER ONE",
"CEREALS RTE,GENERAL MILLS,OATMEAL CRISP,RAISIN",
"CEREALS RTE,GENERAL MILLS,TOTAL CORN FLAKES",
"CEREALS RTE,GENERAL MILLS,TOTAL RAISIN BRAN",
"CEREALS,QUAKER,QUAKER MULTIGRAIN OATMEAL,PREP W/H2O,NO SALT",
"CEREALS,QUAKER,QUAKER MULTIGRAIN OATMEAL,PREP W/H2O,SALT",
"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN W/ EX FIBER",
"CEREALS RTE,APPL CINN SQUARES MINI-WHEATS",
"CEREALS RTE,KELLOGG,KELLOGG'S COMPLETE OAT BRAN FLAKES",
"CEREALS RTE,KELLOGG,KELLOGG'S CRISPIX",
"CEREALS RTE,GENERAL MILLS,RAISIN NUT BRAN",
"CEREALS RTE,GENERAL MILLS,BASIC 4",
"CEREALS RTE,GENERAL MILLS,APPL CINN CHEERIOS",
"CEREALS RTE,GENERAL MILLS,FRSTD CHEERIOS",
"CEREALS RTE,GENERAL MILLS,FRANKENBERRY",
"CEREALS RTE,GENERAL MILLS,COUNTRY CORN FLAKES",
"CEREALS RTE,GENERAL MILLS,COUNT CHOCULA",
"CEREALS RTE,GENERAL MILLS,COCOA PUFFS",
"CEREALS RTE,GENERAL MILLS,CINN TOAST CRUNCH",
"CEREALS RTE,GENERAL MILLS,BOO BERRY",
"CEREALS RTE,GENERAL MILLS,BERRY BERRY KIX",
"CEREALS RTE,GENERAL MILLS,NATURE VALLEY LOFAT FRUIT GRANOLA",
"CEREALS RTE,GENERAL MILLS,KABOOM",
"CEREALS RTE,KELLOGG,KELLOGG'S JUST RIGHT FRUIT & NUT",
"CEREALS RTE,KELLOGG,KELLOGG'S LOFAT GRANOLA W/ RAISINS",
"CEREALS RTE,KELLOGG,KELLOGG'S MUESLIX",
"CEREALS RTE,KELLOGG,KELLOGG'S RAISIN MINI-WHEATS",
"CEREALS RTE,KELLOGG,KELLOGG'S RICE KRISPIES TREATS CRL",
"CEREALS RTE,KELLOGG,KELLOGG'S STRAWBERRY MINI-WHEATS",
"CEREALS RTE,HEALTH VALLEY,FIBER 7 FLAKES",
"CEREALS RTE,QUAKER,QUAKER APPL ZAPS",
"CEREALS RTE,QUAKER,QUAKER COCOA BLASTS",
"CEREALS RTE,QUAKER,QUAKER FRUITANGY OH!S",
"CEREALS RTE,QUAKER,QUAKER MARSHMLLW SAFARI",
"CEREALS RTE,QUAKER,QUAKER SWT PUFFS",
"CEREALS RTE,OAT,CORN&WHEAT SQUARES,PRESWEETENED,MAPLE FLAV",
"CEREALS RTE,KELLOGG,KELLOGG'S HONEY CRUNCH CORN FLAKES",
"CEREALS,QUAKER,HOMINY GRITS,WHITE,QUICK,DRY",
"CEREALS,QUAKER,HOMINY GRITS,YEL,QUICK,DRY",
"CEREALS,QUAKER,HOMINY GRITS,WHITE,REG,DRY",
"CEREALS,QUAKER,FARINA,ENR CINN FLAVOR,DRY",
"CEREALS RTE,KELLOGG,KELLOGG'S SMART START ANTIOXIDANT CRL",
"CEREALS RTE,KELLOGG,KELLOGG'S FRSTD MINI-WHEATS,BITE SIZE",
"CEREALS RTE,KRAFT,POST BANANA NUT CRUNCH CRL",
"CEREALS RTE,KRAFT,POST BLUEBERRY MORNING CRL",
"CEREALS RTE,KRAFT,POST BRAN FLAKES",
"CEREALS RTE,KRAFT,POST COCOA PEBBLES CRL",
"CEREALS RTE,KRAFT,POST FRUITY PEBBLES CRL",
"CEREALS RTE,KRAFT,POST FRSTD ALPHA-BITS CRL",
"CEREALS RTE,KRAFT,POST MARSHMLLW ALPHA-BITS CRL",
"CEREALS RTE,KRAFT,POST FRUIT&FIBRE DATES,RAISINS&WALNUTS CRL",
"CEREALS RTE,KRAFT,POST GOLDEN CRISP CRL",
"CEREALS RTE,KRAFT,POST GRAPE-NUTS FLAKES",
"CEREALS RTE,KRAFT,POST GREAT GRAINS CRUNCHY PECAN CRL",
"CEREALS RTE,KRAFT,POST GREAT GRAINS RAISIN,DATE&PECAN CRL",
"CEREALS RTE,KRAFT,POST HONEY BUNCHES OF OATS W/ALMONDS CRL",
"CEREALS RTE,KRAFT,POST HONEYCOMB CRL",
"CEREALS RTE,KRAFT,POST OREO O'S CRL",
"CEREALS RTE,KRAFT,POST TOASTIES CORN FLAKES",
"CEREALS RTE,KRAFT,POST FRSTD SHREDDED WHEAT BITE SIZE CRL",
"CEREALS RTE,KRAFT,POST THE ORIGINAL SHREDDED WHEAT 'N BRAN",
"CEREALS RTE,KRAFT,POST THE ORIGIN SHREDDED WHEAT SPOON SIZE",
"CEREALS RTE,KRAFT,POST 100% BRAN CRL",
"CEREALS RTE,GENERAL MILLS,MULTI-BRAN CHEX",
"CEREALS RTE,MALT-O-MEAL,COLOSSAL CRUNCH",
"CEREALS RTE,MALT-O-MEAL,BERRY COLOSSAL CRUNCH",
"CEREALS RTE,MALT-O-MEAL,CRISPY RICE",
"CEREALS RTE,MALT-O-MEAL,TOOTIE FRUITIES",
"CEREALS,RTE,MALT-O-MEAL,TOASTY O'S",
"CEREALS RTE,QUAKER,MOTHER'S PNUT BUTTER BUMPERS CRL",
"CEREALS RTE,QUAKER,MOTHER'S TSTD OAT BRAN CRL,BROWN SUGAR",
"CEREALS RTE,QUAKER,MOTHER'S CINN OAT CRUNCH",
"CEREALS RTE,QUAKER,MOTHER'S GROOVY GRAHAMS",
"CEREALS RTE,QUAKER,MOTHER'S COCOA BUMPERS",
"CEREALS RTE,QUAKER,FRUITY BRONTOSAURUS BLASTS,BAGGED CRL",
"CEREALS RTE,QUAKER,CRISPY CORN PUFFS CRL",
"CEREALS RTE,QUAKER,FRSTD OATS",
"CEREALS RTE,QUAKER,OATMEAL CRL,BROWN SUGAR BLISS",
"CEREALS RTE,QUAKER,HONEY GRAHAM BAGGED CRL",
"CEREALS RTE,QUAKER,TSTD OATS/OATMMM'S",
"CEREALS RTE,QUAKER,KRETSCHMER TSTD WHEAT BRAN",
"CEREALS RTE,QUAKER,CINN CRUNCH BAGGED CRL",
"CEREALS RTE,QUAKER,KRETSCHMER WHEAT GERM,REG",
"CEREALS RTE,GENERAL MILLS,PARA SU FAMILIA RAISIN BRAN",
"CEREALS RTE,KELLOGG,KELLOGG'S,CRISPIX CINN CRUNCH",
"CEREALS RTE,KELLOGG,KELLOGG'S CRUNCHEROOS",
"CEREALS RTE,KELLOGG,KELLOGG'S MARSHMLLW FROOT LOOPS",
"CEREALS RTE,KELLOGG,KELLOGG'S PUFFED WHEAT",
"CEREALS RTE,KELLOGG,KELLOGG'S,RAISIN BRAN CRUNCH",
"CEREALS RTE,KELLOGG,KELLOGG'S SPL K RED BERRIES",
"CEREALS RTE,KELLOGG,KELLOGG'S SHREDDED WHEAT MINIATURES",
"CEREALS RTE,KASHI GOLEAN CRUNCH! BY KELLOGG",
"CEREALS RTE,KASHI HEART TO HEART,HONEY TSTD OAT",
"CEREALS RTE,PUFFED KASHI BY KELLOGG",
"CEREALS RTE,KASHI 7 WHL GRAIN HONEY PUFFS",
"CEREALS RTE,KASHI GOOD FRIENDS BY KELLOGG",
"CEREALS RTE,KASHI GOLEAN BY KELLOGG",
"CEREALS RTE,QUAKER,MOTHER'S HONEY ROUNDUP",
"CEREALS RTE,QUAKER,HONEY NUT OATS",
"CEREALS RTE,QUAKER,HONEY CRISP CORN FLAKES",
"CEREALS RTE,GENERAL MILLS,HARMONY",
"CEREALS RTE,QUAKER,CRANBERRY MACADAMIA NUT CRL",
"CEREALS RTE,QUAKER,FRUITY OCEAN ADVENTURE BAGGED CRL",
"CEREALS,QUAKER,QUICK OATS,DRY",
"CEREALS RTE,MALT-O-MEAL,APPL CINN TOASTY O'S",
"CEREALS RTE,MALT-O-MEAL,FRSTD FLAKES",
"CEREALS,QUAKER,INST OATMEAL,CINNAMON-SPICE,DRY",
"CERLS,QUKR,INST OTML,DNSR EGS W/ ""DNSR BNS"",BRN SGR CINN,DRY",
"CEREALS,QUAKER,INST OATMEAL,FRENCH VANILLA FLAVOR,DRY",
"CEREALS,QUAKER,INST OATMEAL,BKD APPL,DRY",
"CEREALS,QUAKER,INST OATMEAL EXPRESS,GOLDEN BROWN SUGAR,DRY",
"CEREALS,QUAKER,INST OATMEAL,TREASURE HUNT,DRY",
"CEREALS,QUAKER,INST OATMEAL,HONEY NUT,DRY",
"CEREALS,QUAKER,INST OATMEAL,BANANA BREAD,DRY",
"CEREALS,QUAKER,INST OATMEAL EXPRESS,BKD APPL,DRY",
"CEREALS,QUAKER,INST OATMEAL EXPRESS CINN ROLL,DRY",
"CEREALS,QUAKER,INST OATMEAL,NUTR FOR WOMEN,VANILLA CINN,DRY",
"CEREALS,QUAKER,INST OATMEAL,NUTR FOR WOMEN,GLDN BRWN SGR,DRY",
"CEREALS,QUAKER,INST OATMEAL,NUTR FOR WOMEN,APPL SPICE,DRY",
"CEREALS,QUAKER,INST OATMEAL,CINN SPICE,PREP W/ BOILING H2O",
"CLS,QKR,INSTOAT,DIN EGSW/ DINBNS,BRNSGRCINN,PRP W/ BOIL H2O",
"CEREALS,QUAKER,INST OATMEAL,FRENCH VANILLA,PREP W/ BOIL H2O",
"CEREALS,QUAKER,INST OATMEAL,BKD APPL,PREP W/ BOILING H2O",
"CEREALS,QUAKR,INST OATMEAL,TREASURE HUNT,PREP W/ BOILING H2O",
"CEREALS,QUAKER,INST OATMEAL,HONEY NUT,PREP W/ BOILING H2O",
"CEREALS,QUAKR,INST OATMEAL,EXPR BKD APPL,PREP W/ BOILING H2O",
"CEREALS,QUAKER,INST OATMEAL, CINN ROLL,PREP W/ BOILING H2O",
"CRLS,QUAKR INST OTML,NUTR FOR WMN,VNLA CINN,PREP W/ BOIL H2O",
"CEREALS,QKR,INST OATMEAL,FOR WOMEN,BRSUGR,PREP W/H2O",
"CERLS,QUKR,INST OATML,NUTR FOR WMN,APL SPCE,PREP W/ BOIL H2O",
"CERLS,QUKR,INST OATML,EXPR,GLDN BRN SUGR,PREP W/ BOIL H2O",
"CEREALS RTE,UNCLE SAM CRL",
"CEREALS,QUAKER,INST OATMEAL,RAISIN & SPICE,DRY",
"CEREALS,QUAKER,INST OATMEAL,RAISIN & SPICE,PREP",
"CERLS,QUAKER,INST GRIT PRDCT W/ RDEYE GRVY&IMITN HAM BIT,DRY",
"CEREALS,QUAKER,MOTHER'S INST OATMEAL (NON-FORTIFIED),DRY",
"CERLS,QUKR,INST GRIT PRDCT W/ IMITN BACN BIT&CHDR FLVR,DRY",
"CEREALS,QUAKER,INST GRITS PRODUCT W/ AMERICAN CHS FLAVOR,DRY",
"CEREALS,QUAKER,INST GRITS PRODUCT--HAM 'N' CHS",
"CEREALS RTE,KELLOGG'S,FRUIT HARVEST APPL CINN",
"CEREALS RTE,KELLOGG'S,FRUIT HARVEST PEACH/STRAWBERRY",
"CEREALS RTE,KELLOGG'S,FRUIT HARVEST STRAWBERRY/BLUEBERRY",
"CEREALS RTE,KELLG'S,FRSTD MINI-WHTS,MPLE & BRWN SGR,BTE SZE",
"CEREALS RTE,KELLOGG'S,TONY'S CINN KRUNCHERS",
"CEREALS RTE,KASHI,CINNA-RAISIN CRUNCH BY KELLOGG",
"CEREALS RTE,KASHI,ORGANIC PROMISE AUTUMN WHEAT",
"CEREALS RTE,KASHI ORGANIC PROMISE STRAWBERRY FIELDS",
"CEREALS RTE,KASHI,SEVEN IN THE MORNING BY KELLOGG",
"CEREALS RTE,KELLOGG,SCOOBY-DOO! BERRY BONES",
"CEREALS RTE,KASHI ORGANIC PROMISE CRANBERRY SUNSHINE",
"CEREALS RTE,KELLOGG'S,RED SUGAR FROOT LOOPS",
"CEREALS RTE,KELLOGG'S,RED SUGAR FRSTD FLAKES CRL",
"CEREALS RTE,KELLOGG'S,FRUIT HARVEST BANANA BERRY",
"CEREALS RTE,KELLOGG'S,SPL K LO CARB LIFESTYLE PROT PLUS",
"CEREALS RTE,KELLOGG'S,CORN FLAKES W/ REAL BANANAS",
"CEREALS RTE,MALT-O-MEAL,HONEY BUZZERS",
"CEREALS RTE,MALT-O-MEAL,GOLDEN PUFFS",
"CEREALS RTE,MALT-O-MEAL HONEY GRAHAM CRL",
"CEREALS RTE,MALT-O-MEAL,PUFFED WHEAT CRL",
"CEREALS RTE,MALT-O-MEAL,RAISIN BRAN CRL",
"CEREALS RTE,MALT-O-MEAL,BLUEBERRY MUFFIN TOPS CRL",
"CEREALS RTE,MALT-O-MEAL,FARINA HOT WHEAT CRL,DRY",
"CEREALS RTE,MALT-O-MEAL,MAPLE & BRWN SGR HOT WHT CRL,DRY",
"CEREALS RTE,MALT-O-MEAL,HI FIBER BRAN FLAKES",
"CEREALS RTE,MALT-O-MEAL,HONEY NUT TOASTY O'S CRL",
"CEREALS RTE,MALT-O-MEAL,PUFFED RICE CRL",
"CEREALS RTE,MALT-O-MEAL,APPL ZINGS",
"CEREALS RTE,MALT-O-MEAL,CINN TOASTERS",
"CEREALS RTE,MALT-O-MEAL,COCOA DYNO-BITES",
"CEREALS RTE,MALT-O-MEAL,CORN FLAKES",
"CEREALS RTE,MALT-O-MEAL,FRSTD WHL WHEAT CRL",
"CEREALS RTE,MALT-O-MEAL,FRUITY DYNO-BITES",
"CEREALS RTE,NATURE'S PATH,OPTIMUM",
"CEREALS RTE,NATURE'S PATH,OPTIMUM SLIM",
"CEREALS RTE,RALSTON ENR BRAN FLAKES",
"CEREALS RTE,RALSTON CORN BISCUITS",
"CEREALS RTE,RALSTON CORN FLAKES",
"CEREALS RTE,RALSTON CRISPY HEXAGONS",
"CEREALS RTE,USDA CMDTY CORN & RICE (INCLUDES ALL  BRANDS)",
"CEREALS RTE,USDA CMDTY RICE CRISPS (INCLUDES ALL  BRANDS)",
MILK & CRL BAR,
"CEREALS,MALT-O-MEAL,PLN,PREP W/ H2O,WO/ SALT",
"CEREALS,MALT-O-MEAL,CHOC,PREP W/ H2O,WO/ SALT",
"CEREALS RTE,GENERAL MILLS,CHOC LUCKY CHARMS",
"CEREALS RTE,GENERAL MILLS,FRSTD CHEX",
"CEREALS RTE,GENERAL MILLS,OATMEAL CRISP,TRIPLE BERRY",
"CEREALS RTE,GENERAL MILLS,PNUT BUTTER COOKIE CRISP",
"CEREALS RTE,GENERAL MILLS MILLS PNUT BUTTER TOAST CRUNCH",
"CEREALS RTE,KELLOGG,KELLOGG'S ALL-BRAN YOGURT BITES",
"CEREALS RTE,KELLOGG,BERRY RICE KRISPIES",
"CEREALS RTE,KELLOGG,KELLOGG'S CINN MINI SWIRLZ",
"CEREALS RTE,KELLOGG,CRAN-VANILLA CRUNCH",
"CEREALS RTE,KELLOGG,EGGO CRUNCH CRL,MAPLE FLAV",
"CEREALS RTE,KELLOGG,FRSTD MINI-WHEATS BITE SIZE VANILLA",
"CEREALS RTE,KELLOGG,MARSHMLLW FROOT LOOPS,RAINBOW BREEZE",
"CEREALS RTE,KELLOGG,ROBOTS",
"CEREALS RTE,KELLOGG,SMART START HEALTHY HEART,ORIGINAL",
"CEREALS RTE,KELLOGG,SMART START HEALTHY HEART, BRN SUGAR",
"CEREALS RTE,KELLOGG,SMORZ",
"CEREALS RTE,KELLOGG,SPL K,FRUIT & YOGURT",
"CEREALS RTE,KELLOGG,SPONGEBOB SQUAREPANTS",
"CEREALS RTE,KELLOGG,STAR WARS",
"CEREALS RTE,KELLOGG,TIGER POWER",
"CEREALS RTE,KELLOGG,TSTD HONEY CRUNCH",
"CEREALS RTE,KELLOGG,MINI SWIRLZ FUDGE RIPPLE",
"CEREALS RTE,KASHI 7 WHL GRAIN FLAKES BY KELLOGG",
"CEREALS RTE,KASHI,HEART TO HEART,WILD BLUEBERRY",
"CEREALS RTE,KASHI ORGANIC PROMISE CINN HARVEST",
"CEREALS RTE,KASHI MIGHTY BITES,CINN CRL",
"CEREALS RTE,KASHI MIGHTY BITES,HONEY CRUNCH CRL",
"CEREALS RTE,KELLOGG,FRSTD MINI-WHEATS BITE SIZE STRAWBERRY",
"CEREALS RTE,KELLOGG'S,SPL K VANILLA ALMOND",
"CEREALS,RTE,KRAFT,POST SELECTS CRANBERRY ALMOND CRUNCH",
"CEREALS RTE,QUAKER,TSTD OATMEAL SUPREME CRL,STRAWBERRY MANGO",
RICE & WHEAT CRL BAR,
"CEREALS RTE,QUAKER,PNUT BUTTER CHOCOLATEY CRUNCH CRL",
"CEREALS RTE,QUAKER,QUAKER TSTD OATMEAL CRL",
"CEREALS RTE,QUAKER,QUAKER HONEY GRAHAM LIFE CRL",
"CEREALS RTE,QUAKER,CHRISTMAS CRUNCH",
"CEREALS RTE,QUAKER,QUAKER LIFE VANILLA YOGURT CRUNCH CRL",
