things,places
"VINEGAR,RED WINE",CHIPOTLE
"VINEGAR,BALSAMIC",CHIPOTLE MEXICAN GRILL
"CAMPBELL SOUP CO,PACE,DRY TACO SEAS MIX",CHIU'S SUSHI JAPANESE RESTAURANT
"BABYFOOD,MEAT,BF,STR",CHIYO SUSHI
"BABYFOOD,MEAT,BF,STR",CHOCOLATEA
"BABYFOOD,MEAT,VEAL,STR",CHOPPER'S TAVERN
"BABYFOOD,MEAT,PORK,STR",CHOW  MEIN CHARLIES  chinese food
"BABYFOOD,MEAT,HAM,STR",CHRIS LIQUOR & GRILL
"BABYFOOD,MEAT,HAM,JUNIOR",CHUBBIES CLUB
"BABYFOOD,MEAT,LAMB,STR",CHUCK'S
"BABYFOOD,MEAT,LAMB,JUNIOR",CHUNG MEE RESTAURANT
"BABYFOOD,MEAT,CHICK,STR",CIAO BELLA RESTAURANT
"BABYFOOD,MEAT,CHICK,JR",CINCO DE MAYO
"BABYFOOD,MEAT,CHICK STKS,JR",CINGHIALE
"BABYFOOD,MEAT,TURKEY,STR",CIRCUS BAR & RESTAURANT
"BABYFOOD,MEAT,TURKEY,JR",CITY LIMITS SPORTS BAR
"BABYFOOD,MEAT,TURKEY STKS,JR",claddagh pub
"BABYFOOD,MEAT,MEAT STKS,JR",CLASSIC CAFE EXPRESS
"BABYFOOD,DINNER,VEG&DUMPLINGS&BF,STR",CLAYTON FINE BOOKS & CAF
"BABYFOOD,DINNER,VEG&DUMPLINGS&BF,JR",CLIFTON PARK GOLF COURSE SNACK BAR
"BABYFOOD,DINNER,BF LASAGNA,TODD",CLIPPER MILL INN
"BABYFOOD,DINNER,MACARONI&TOMATO&BF,STR",CLUB 1722
"BABYFOOD,DINNER,MACARONI&TOMATO&BF,JR",CLUB BAR
"BABYFOOD,RAVIOLI,CHS FILLED,W/TOMATO SAU",CLUB BUNNS (606-08)
"BABYFOOD,DINNER,BF NOODLE,STR",club charles zodiac     (1724-1726 n. charles st)
"BABYFOOD,MACARONI&CHS,TODD",CLUB CHOICES
"BABYFOOD,DINNER,BF&RICE,TODD",CLUB CLIMAX
"BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,JR",CLUB CONFETTI
"BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,TODD",CLUB HAREM
"BABYFOOD,DINNER,BF STEW,TODD",CLUB HOUSE BAR & GRILL
"BABYFOOD,DINNER,VEG&BF,STR",CLUB HUSH
"BABYFOOD,DINNER,VEG&BF,JR",CLUB INTERNATIONAL
"BABYFOOD,DINNER,BF W/VEG",CLUB LUZERENE
"BABYFOOD,DINNER,VEG&BACON,STR",CLUB MATE
"BABYFOOD,DINNER,VEG&HAM,STR",CLUB MIAMI
"BABYFOOD,DINNER,VEG&HAM,JR",CLUB MITCHELL
"BABYFOOD,DINNER,VEG&LAMB,STR",CLUB OKAPI
"BABYFOOD,DINNER,VEG&LAMB,JR",CLUB ONE
"BABYFOOD,DINNER,CHICK NOODLE,STR",CLUB PHOENIX
"BABYFOOD,DINNER,CHICK NOODLE,JR",CLUB PUSSYCAT
"BABYFOOD,DINNER,CHICK SOUP,STR",CLUB RIO & TOUCH OF CLASS
"BABYFOOD,DINNER,CHICK STEW,TODD",CLUBHOUSE BAR
"BABYFOOD,DINNER,VEG CHICK,STR",CLUBHOUSE BAR & GRILL
"BABYFOOD,DINNER,VEG,NOODLES&CHICK,STR",COACH HOUSE INN
"BABYFOOD,DINNER,VEG,NOODLES&CHICK,JR",COCKY LOU'S
"BABYFOOD,DINNER,PASTA W/VEG",COCO MOKA CAF
"BABYFOOD,DINNER,VEG&NOODLES&TURKEY,STR",COCONUT CAF
"BABYFOOD,DINNER,VEG&NOODLES&TURKEY,JR",COFFEE LAND
"BABYFOOD,DINNER,TURKEY&RICE,STR",COLD STONE CREAMERY #1479
"BABYFOOD,DINNER,TURKEY&RICE,JR",COLD STONE CREAMERY# 102
"BABYFOOD,DINNER,VEG&TURKEY,STR",COLLINS CORNER
"BABYFOOD,DINNER,VEG&TURKEY,JR",COLONIAL INN
"BABYFOOD,DINNER,VEG&TURKEY,TODD",COMMON GROUND
"BABYFOOD,DINNER,MACARONI&CHS,STR",COOKIE'S  CITY  LINE  DINER
"BABYFOOD,DINNER,MACARONI&CHS,JR",COOPER'S LIQUOR (568-570)
"BABYFOOD,VEG,GRN BNS,STR",COPRA
"BABYFOOD,VEG,GRN BNS,JR",CORKS
"BABYFOOD,GRN BNS,DICES,TODD",CORKY'S GRILL
"BABYFOOD,VEG,GRN BNS&POTATOES",CORRADO'S CAF
"BABYFOOD,VEG,BEETS,STR","COSI, INC. # 157"
"BABYFOOD,VEG,CARROTS,STR",COSMOPOLITAN BAR & GRILL
"BABYFOOD,VEG,CARROTS,JR",COSMOS RESTAURANT-CARRYOUT (5427-29)
"Babyfood, vegetables, squash, strained",COTTON CLUB
"BABYFOOD,VEG,SQUASH,JR",courthouse east caf‚'
"BABYFOOD,VEG,SWT POTATOES,STR",COURTYARD BY MARRIOTT & COURTYARD CAFE & LOUNGE
"BABYFOOD,VEG,SWT POTATOES,JR",crazy johns
"BABYFOOD,POTATOES,TODDLER",CRAZY LIL'S
"BABYFOOD,VEG,BUTTERNUT SQUASH&CORN",CREATIVE ALLIANCE
"BABYFOOD,APPLS,DICES,TODD",CREPE DU JOUR
"BABYFOOD,FRUIT,APPLSAUC,STR",CROSSROADS SPORTS PUB & GRILL
"BABYFOOD,FRUIT,APPLSAUC,JR",CURB SHOPPE
"BABYFOOD,FRUIT,APRICOT W/TAPIOCA,STR",CURLEY ST.  CAF
"BABYFOOD,VEG,CORN,CRMD,STR",CURTIS BAY ATHLETIC CLUB
"BABYFOOD,VEG,CORN,CRMD,JR",D J'S GASLIGHT
"BABYFOOD,VEG,PEAS,STR",DAILY  GRIND  COFFEE  HOUSE
"BABYFOOD,PEAS,DICES,TODD",DAILY GRIND
"BABYFOOD,VEG,SPINACH,CRMD,STR",DAILY GRIND
"BABYFOOD,FRUIT,APRICOT W/TAPIOCA,JR",dalesio's of little italy llc
"BABYFOOD,FRUIT,BANANAS W/TAPIOCA,STR",DANCING PIGS
"BABYFOOD,FRUIT,PEACHES,STR",DANNY'S LOUNGE
"BABYFOOD,FRUIT,PEACHES,JR",DARBY'S
"BABYFOOD,FRUIT,PEARS,STR",DARKER THAN BLUE
"BABYFOOD,FRUIT,PEARS,JR",DASH SEAFOOD & CHICKEN
"BABYFOOD,FRUIT,PLUMS W/TAPIOCA,WO/VIT C,STR",DAVEY JONES LOCKER
"BABYFOOD,FRUIT,PLUMS W/TAPIOCA,WO/VIT C,JR",DAVID & DAD'S LLC
"BABYFOOD,FRUIT,PRUNES W/TAPIOCA,WO/VIT C,STR",DAVID'S RESTAURANT & DELI
"BABYFOOD,FRUIT,PRUNES W/TAPIOCA,WO/VIT C,JR",DAYS INNS MANAGEMENT CO
"BABYFOOD,PRUNES,WO/VIT C,STR",DEAD END SALOON
"BABYFOOD,FRUIT DSSRT,MANGO W/ TAPIOCA",DEAD FREDDIES
"BABYFOOD,PEARS,DICES,TODD",DECADES SPORTS BAR
"BABYFOOD,FRUIT,APPLSAUC&APRICOTS,STR",DECKERS BAR & GRILLE
"BABYFOOD,FRUIT,APPLSAUC&APRICOTS,JR",DEEP SIDE RESTAURANT & CAF
"BABYFOOD,FRUIT,APPLSAUC&CHERRIES,STR",DEGO DAME'S
"BABYFOOD,FRUIT,APPLSAUC&CHERRIES,JR",DELLA ROSE'S 2 CANTON CROSSING
"BABYFOOD,FRUIT,APPLSAUC W/BANANA,JR",DESERT CAFE'(1605-07)
"BABYFOOD,FRUIT,APPLSAUC&PNAPPL,STR",DESERT INN
"BABYFOOD,FRUIT,APPLSAUC&PNAPPL,JR",DIAMOND LOUNGE   (415 1/2 E. BALTIMORE STREET)
"BABYFOOD,FRUIT,APPL & RASPBERRY,STR",DIANNE'S RESTAURANT LOUNGE
"BABYFOOD,FRUIT,APPL & RASPBERRY,JR",DILONE GROCERY & RESTAURANT
"BABYFOOD,FRUIT & VEG,APPL & SWT POTATO","DIMIS CAF AND GRILL, INC."
"BABYFOOD,FRUIT,BANANAS&PNAPPL W/TAPIOCA,JR",DIMITRI'S TAVERN
"BABYFOOD,FRUIT,BANANAS&PNAPPL W/TAPIOCA,STR",DING HOW RESTAURANT
"BABYFOOD,FRUIT,PEARS&PNAPPL,STR",DIONYSUS RESTAURANT & LOUNGE
"BABYFOOD,FRUIT,PEARS&PNAPPL,JR",DIZZY  IZZY
"BABYFOOD,FRUIT,GUAVA&PAPAYA W/TAPIOCA,STR",DOMINICANO INTERNACIONAL
"BABYFOOD,PEACHES,DICES,TODD",DOMINO SUGAR CAFATERIA OPERATION # 65227
"BABYFOOD,FRUIT,PAPAYA&APPLSAUC W/TAPIOCA,STR",DONNA'S
"BABYFOOD,FRUIT,BANANAS W/APPLS&PEARS,STR",DONNA'S
"BABYFOOD,FRUIT,APPL&BLUEBERRY,STR",DONNA'S
"BABYFOOD,FRUIT,APPL&BLUEBERRY,JR","DONNA'S CHARLES VILLAGE, LLC"
"BABYFOOD,JUICE,APPLE",DONNA'S CROSS KEYS
"BABYFOOD,APPLE-BANANA JUC",DONRITZ BAR & GRILL
"BABYFOOD,JUC,APPL&PEACH",DOUGHERTY'S
"BABYFOOD,APPLE-CRANBERRY JUC",DOWN THE HATCH
